"BHK","Area_SqFt","City","Price_Lacs","Locality","Avg_Price_Per_SqFt","Possession_Status","Listing_Title","Listing_URL","Source","Page_Number"
"3","2200","Thrissur","90","East Nada","4.09k/sq.ft","1st Dec, 2026","3 BHK Independent House in East Nada, Thrissur","https://housing.com/in/buy/resale/page/20305238-3-bhk-independent-house-in-east-nada-for-rs-9000000","Housing.com","1"
"3","1800","Thrissur","60.01","Ayyanthole","3.33k/sq.ft","Ready to move","3 BHK Independent House in Ayyanthole","https://housing.com/in/buy/resale/page/20050501-3-bhk-independent-house-in-ayyanthole-for-rs-6000500","Housing.com","1"
"4","1967","Thrissur","89.5","Mannuthy","4.55k/sq.ft","Ready to move","4 BHK Independent House in Mannuthy, Thrissur","https://housing.com/in/buy/resale/page/20260229-4-bhk-independent-house-in-mannuthy-for-rs-8950000","Housing.com","1"
"3","2000","Thrissur","90","Manathala, Chavakkad","4.5k/sq.ft","1st Oct, 2026","3 BHK Independent House in Manathala, Chavakkad","https://housing.com/in/buy/resale/page/20249554-3-bhk-independent-house-in-chavakkad-for-rs-9000000","Housing.com","1"
"3","2200","Thrissur","90","Muthuvattoor","4.09k/sq.ft","1st Dec, 2026","3 BHK Independent House in Muthuvattoor, Thrissur","https://housing.com/in/buy/resale/page/20305261-3-bhk-independent-house-in-muthuvattoor-for-rs-9000000","Housing.com","1"
"3","2200","Thrissur","90","North Nada","4.09k/sq.ft","1st Dec, 2026","3 BHK Independent House in North Nada, Thrissur","https://housing.com/in/buy/resale/page/20305279-3-bhk-independent-house-in-north-nada-for-rs-9000000","Housing.com","1"
"3","1800","Thrissur","60","Puthurkkara","3.33k/sq.ft","Ready to move","3 BHK Independent House in Puthurkkara","https://housing.com/in/buy/resale/page/20050476-3-bhk-independent-house-in-puthurkkara-for-rs-6000000","Housing.com","1"
"4","4000","Thrissur","310","Kaiparambu","7.75k/sq.ft","1st Jan, 2027","4 BHK Independent House in Kaiparambu, Thrissur","https://housing.com/in/buy/resale/page/20302136-4-bhk-independent-house-in-kaiparambu-for-rs-31000000","Housing.com","1"
"3","2200","Thrissur","90","Pavaratty","4.09k/sq.ft","1st Dec, 2026","3 BHK Independent House in Pavaratty, Thrissur","https://housing.com/in/buy/resale/page/20305296-3-bhk-independent-house-in-pavaratty-for-rs-9000000","Housing.com","1"
"4","3000","Thrissur","220.00000000000003","Vasanth Nagar","7.33k/sq.ft","1st Dec, 2026","4 BHK Independent House in Vasanth Nagar, Thrissur","https://housing.com/in/buy/resale/page/20287056-4-bhk-independent-house-in-vasanth-nagar-for-rs-22000000","Housing.com","1"
"4","2500","Thrissur","85","Mannumkad, Ramavarmapuram","3.4k/sq.ft","Ready to move","4 BHK Independent House in Mannumkad, Ramavarmapuram","https://housing.com/in/buy/resale/page/20194974-4-bhk-independent-house-in-ramavarmapuram-for-rs-8500000","Housing.com","1"
"4","2200","Thrissur","195","Velappaya, Killannur","8.86k/sq.ft","Ready to move","4 BHK Independent House in Velappaya, Killannur, Thrissur","https://housing.com/in/buy/resale/page/20126645-4-bhk-independent-house-in-velappaya-for-rs-19500000","Housing.com","1"
"4","4000","Thrissur","420","Patturaikkal","10.5k/sq.ft","Ready to move","4 BHK Independent House in Patturaikkal, Thrissur","https://housing.com/in/buy/resale/page/19843715-4-bhk-independent-house-in-patturaikkal-for-rs-42000000","Housing.com","1"
"5","3650","Thrissur","148","Marathakkara","4.05k/sq.ft","Ready to move","5 BHK Independent House in Marathakkara, Thrissur","https://housing.com/in/buy/resale/page/19843915-5-bhk-independent-house-in-marathakkara-for-rs-14800000","Housing.com","1"
"4","4000","Thrissur","310","Puzhakkal","7.75k/sq.ft","2nd Nov, 2026","4 BHK Independent House in Puzhakkal, Thrissur","https://housing.com/in/buy/resale/page/20302339-4-bhk-independent-house-in-puzhakkal-for-rs-31000000","Housing.com","1"
"3","2000","Thrissur","68","Ollur","3.4k/sq.ft","12th Oct, 2026","3 BHK Independent House in Ollur, Thrissur","https://housing.com/in/buy/resale/page/20215768-3-bhk-independent-house-in-ollur-for-rs-6800000","Housing.com","1"
"4","1800","Thrissur","85","Poochatty","4.72k/sq.ft","Ready to move","4 BHK Independent House in Poochatty, Thrissur","https://housing.com/in/buy/resale/page/19982999-4-bhk-independent-house-in-poochatty-for-rs-8500000","Housing.com","1"
