BHK,Area_SqFt,City,Price_Lacs,Locality
3,1500,Thrissur,60.0,Peringottukara
3,1300,Thrissur,70.0,Chiyyaram
4,3000,Thrissur,220.0,Chembukkav
4,3000,Thrissur,350.0,Viyyur
4,2330,Thrissur,175.0,Triprayar
2,1100,Thrissur,46.0,Vinayaka nagar
4,2000,Thrissur,87.0,Viyyur
3,1600,Thrissur,245.0,Kuriachira
2,1600,Thrissur,100.0,Athani
5,2800,Thrissur,150.0,Chalakudy
3,1600,Thrissur,70.0,Chiyyaram
2,1092,Thrissur,38.0,Mathilakam
2,850,Thrissur,28.0,Thrissur
4,3000,Thrissur,160.0,Paravattani
3,900,Thrissur,40.0,Pavaratty
6,3200,Thrissur,100.0,Vallachira
4,2100,Thrissur,95.0,Kolazhy
4,3200,Thrissur,75.0,Chelakkara
3,1600,Thrissur,48.0,Thrissur
4,2400,Thrissur,75.0,Varadiyam
4,5226,Thrissur,350.0,East Fort Junction
3,1600,Thrissur,120.0,Paravattani
4,1300,Thrissur,320.0,Mission Quarters
3,1850,Thrissur,45.0,Irinjalakuda
5,2767,Thrissur,150.0,Adatt
3,1450,Thrissur,43.0,Thiruvilwamala
4,1650,Thrissur,72.0,Nellikunnu
3,2500,Thrissur,100.0,Wadakkanchery
4,2950,Thrissur,110.0,Vellanikkara
3,1200,Thrissur,68.0,Chiyyaram
3,1800,Thrissur,70.0,Thiripayar
3,2000,Thrissur,130.0,Guruvayur
4,2500,Thrissur,90.0,Guruvayur
5,2200,Thrissur,110.0,Cheroor
4,3500,Thrissur,175.0,Puthukkad
3,1600,Thrissur,256.0,Kuriachira
3,2100,Thrissur,70.0,Varadiyam
3,1800,Thrissur,65.0,Puthenchira
3,1550,Thrissur,65.0,Chembukkav
5,7790,Thrissur,525.0,Elthuruth
3,1850,Thrissur,57.0,Manakkody
2,2700,Thrissur,75.0,Olarikkara
3,2178,Thrissur,25.0,Arimbur
3,2760,Thrissur,160.0,Koorkenchery
5,7500,Thrissur,425.0,Nehru Nagar
3,800,Thrissur,40.0,Sreenarayanapuram
2,1200,Thrissur,22.0,Kannara
2,750,Thrissur,33.0,Ollukkara
2,600,Thrissur,7.0,Cheruthuruthy
2,1022,Thrissur,95.0,Viyyur
4,2100,Thrissur,85.0,Punkunnam
3,2800,Thrissur,35.0,Chelakkara
3,1399,Thrissur,289.3,Mission Quarters
3,1914,Thrissur,93.0,Nehru Nagar
3,1828,Thrissur,58.4,Puthenchira
2,1161,Thrissur,65.9,Adatt
3,921,Thrissur,54.8,Cheroor
2,1344,Thrissur,96.3,Chembukkav
3,1694,Thrissur,74.9,Vellanikkara
4,2385,Thrissur,103.0,Chalakudy
2,1387,Thrissur,70.5,Athani
5,2339,Thrissur,115.7,Nehru Nagar
4,1738,Thrissur,134.2,Viyyur
5,2788,Thrissur,106.2,Thiripayar
3,1862,Thrissur,70.4,Kolazhy
2,1277,Thrissur,17.0,Cheruthuruthy
4,3523,Thrissur,119.9,Vellanikkara
3,2185,Thrissur,81.2,Punkunnam
